,Summary,Date,JobTitle,AuthorLocation,OverallRating,Pros,Cons,Company,negative,neutral,positive,compound
278,no development,"Dec 20, 2016", Management,"Towson, MD",2.0,smart and hardworking coworkers great partnerships with programs that give back and health insurance quality customers,lack of structured development program short term development falls through during busy seasons unprofessional store managers district managers and regional directors hr does not do a good job in reconciling store level issues unhealthy physical and mental work enviorment,L'Occitane,0.688,0.312,0.0,-0.296
279,operational excellence and leadership benefits at loccitane greater washington,"Dec 14, 2016", Store Manager,"New York, NY",5.0,i love working for loccitane in the greater washington area i have grown immensely from their investment in my talent both professionally and personally at work i have learned to be a leader before a manager through effective team accountability and delegation i am trusting more every day i work for people who inspire me to be more successful than i knew possible and i know my staff feels the same way about me its amazing to see the openness and respect in and out of my store throughout the lives who i am able to touch from each associate to every customer i am very grateful to work for this company and in this district if you dont consider retail employment here you are seriously missing out,i am required to put words here but i honestly had no cons i have been taught to see the positivity in every lesson from the senior management in this company,L'Occitane,0.0,0.395,0.605,0.8481
280,sales and training manager,"Dec 14, 2016", Sales Training Manager,"New York, NY",1.0,the pros at this company are it people their benefit package is really great you get more vacation time than most companies and their employee discount is high at off,the leadership team has no vision and feels stuck in their ways they are trying to run the company as its ran in europe and clearly is not working here in the us these are two completely different markets there is no growth here when you get promoted you receive a higher title but continue to do the same work so you do not learn or grow your skill sets the hr team feels nonexistent they are not easily accessible and once you actually sit with them nothing is done to your benefit,L'Occitane,0.0,1.0,0.0,0.0
281,sales assistant,"Dec 9, 2016", Sales Associate,"Houston, TX",2.0,get great gifts for employees and customers nice coworker customers good discounts good products nothing you cant get any other retailer,company seems to be upscale but is the exact opposite managment is subpar they dont understand business in the retail space it seems they are just trying to check off list the corprate gives them to succeed but they are missing the most important thing the customers and the people who interact with them have to be insync for example telling use to sell of a product is ok but then we the customer isnt getting what they need or want just being tricked into purchasing what we had plainer for the day make me feel like a sleazy car sales man another con is they pay high end associates like a mcdonalds employees ,L'Occitane,0.0,1.0,0.0,0.0
282,great place to work with a flexible entrepreuneur mindset,"Nov 23, 2016", Anonymous Employee,Geneva,3.0,great place to work to show ones creativity and entrepreneur mindset in a joyful and passionate atmosphere,people needing a framework processes and stability may find working at loccitane disturbing,L'Occitane,0.0,0.5,0.5,0.7184
283,store employee,"Nov 21, 2016", Store Employee,"Lisbon, Lisbon",3.0,good enverioment and team working training when entering and with the lunch of new lines,no grow and no update on salaries unless the government oblie to do it,L'Occitane,0.0,1.0,0.0,0.0
284,ft sales associate,"Nov 19, 2016", Full Time Sales Lead,"Williamsburg, VA",1.0,good employee gratis program the products are amazing benefits are good when available to you some good coworkers,management borders on abusive telling a pregnant woman to sit on the floor then yelling at her when she does as told no consistency would be told to do something one day then yelled at for it the next day management was belittling to staff that worked hard and praised personal favorites regardless of job performance of either no accountability for management taking simple information to district manager was considered insubordinate so reporting anything wrong was deemed treason and you would be fired known for promising big and never delivering things like pay ratesbenefits job titles and raises,L'Occitane,0.0,1.0,0.0,0.0
285,lovely company would of stayed if i could,"Nov 18, 2016", Anonymous Employee,"Dallas, TX",4.0,great products good staff discount external training opportunities lovely team of people,was hired as a permanent member of staff then told a few weeks later the store was closing and they would try to relocate me i should have been informed of this before i accepted the job as i could not get to the location they wanted to relocate me to without paying a large parking fee and it might not be the hours i wanted or the job role i wanted,L'Occitane,0.0,0.612,0.388,0.5859
286,sales,"Nov 18, 2016", ,"Seattle, WA",5.0,great company with great people amazing products with traceable ingredients,behind the times with technology and some retail industry business practices,L'Occitane,0.0,1.0,0.0,0.0
287,ptsa,"Nov 16, 2016", ,"Calgary, AB",1.0,good discounts great products gratis,horrible horrible treatment for management,L'Occitane,0.0,1.0,0.0,0.0
288,great company amazing products,"Oct 28, 2016", Anonymous Employee,"New York, NY",4.0,its easy to sell when you believe in what youre selling the products are wonderful you never feel bad about recommending even the most expensive items because they are all great and worth the money the staff at least in my experience was great it felt like a little family there are no individual goals which makes it easier for everyone to work together to make the store goal,the goals sometimes can be stressful but nothing that you cant handle especially if you have a supportive manager,L'Occitane,0.0,0.202,0.798,0.836
289,assistant manager,"Oct 25, 2016", Assistant Store Manager,"Williamsburg, VA",3.0,great in the beginning starting out good hours with ok pay health insurance with a k plan,favorites all over the place hard work goes unnoticed,L'Occitane,0.0,1.0,0.0,0.0
290,not fair for talented people,"Oct 25, 2016", Key Holder,"Chicago, IL",1.0,good products and discounts shea line and divine is good also peony line is not bad schedule can be a little bit rough sometimes but not that bad,promote talent people i saw some ptsa sell much better than asm and sm but not being recognized and left management play favoritism only promote who they like which is so unfair,L'Occitane,0.609,0.391,0.0,-0.5667
291,learn a lot and fall in love,"Oct 22, 2016", Sales,"Houston, TX",5.0,amazing products flexible schedule and wonderful customers generous discount and gratis fun atmosphere when the right people are in the business learn about running a business and learn about skincare if you love beauty products and working with people you will be in heaven every day,small team maybe too small everyone is a key holder and everyone must be really dependable and happy or the team suffers,L'Occitane,0.0,0.543,0.457,0.6369
292,provencal experience,"Oct 19, 2016", Sales Associate,"Collingwood, ON",3.0,getting the chance to experience provence with their natural ingredients and true stories about the origins of their products,small company for skincare in my opinion doesnt have too many opportunities for full time,L'Occitane,0.0,1.0,0.0,0.0
293,best company i have ever worked for,"Sep 29, 2016", Retail Store Manager,"Beachwood, OH",5.0,loccitane makes great strides to maintain and access the happiness and sustainability of their employees they put the right people in each role from hr to payroll to managers to keep the work environment positive and progressive,like any job there are moments where worklife balance are difficult but they acknowledge and adapt to make things better when an issue does arrive,L'Occitane,0.0,0.543,0.457,0.6369
294,ptsa,"Sep 24, 2016", Anonymous Employee,"New York, NY",5.0,fun great customers products first class,just pay need to keep up with pay scale,L'Occitane,0.0,1.0,0.0,0.0
295,all that glitters isnt gold,"Sep 22, 2016", Store Manager,"Houston, TX",2.0,salary was initially good gratis is nice but also limited i love the products and my colleagues the boutiques are esthetically pleasing to the eye,so many opportunities for the company to improve upon havent had a raise in yrs monthly goals are inflated so bonus is off the table i have never received a bonus since i began yrs agoa lot of wasted money on props for windows that could go toward a better incentive program similar brands offer commission if we are indeed a prestige brand then act like it stop hiring people that dont look the part of a prestige brand manager,L'Occitane,0.0,1.0,0.0,0.0
296,hard company to work for,"Sep 16, 2016", ,"Atlanta, GA",1.0,gratis when new products are launched,you are asked to work over hours a day you are lucky if you get a min break managers are stressed and over worked all year round store is opened and closed alone not safe store goals are not realistic you are asked to demo skin care cream on people when no one is trained as a cosmetologist,L'Occitane,0.259,0.741,0.0,-0.1027
297,great company,"Sep 15, 2016", ,"Phoenix, AZ",4.0,great environment to work with nice products,no chance to get promoted or get a raise,L'Occitane,0.0,0.196,0.804,0.6249
298,sales associate,"Aug 18, 2016", ,"Westminster, MD",4.0,great products great discount good company values,not much room for growth,L'Occitane,0.0,1.0,0.0,0.0
299,freelance sales associate,"Aug 17, 2016", Sales Professional,"Williamsburg, VA",5.0,great hours top notch pay,a lot of traveling long hours at times,L'Occitane,0.0,0.476,0.524,0.296
300,most mismanaged retail outfit ever,"Aug 17, 2016", PTSA,"London, England",1.0,gratis great discount pays very well compared to most retail truly wonderful products that sell themselves other boutiques always willing to help via phone and email so there is surely some team work in the company company is very charitable,scheduling usually wasnt done till the day before schedule usually doesnt allow for anyone to be able to take breaks so if youre working an hour shift youre expected not to eat or drink youre also expected not to sit ever this was a big deal sitting was a bigger offense than being late or not completing daily tasks the acting manager made a months pregnant staff member sit on a cement floor instead of in a chair because chairs are for our vips yes i am serious pregnant woman on the floor there was no breakroom so if you possibly found a few minutes to eat you were expected to eat in the bathroom gross i was hired to train for management and was told id be full time within a month or two months later i was still parttime i wouldnt advise anyone to work there unless they have a fulltime salaried job in writing they pay the managers well and the perks are endless so they dangle the manager thing around like a carrot in front of a donkey to get maximum performance out of their parttime staff but they dont actually follow through the shop i worked in has been without an onsite manager for the better part of a year,L'Occitane,0.0,1.0,0.0,0.0
301,part time sales associate at loccitane,"Aug 9, 2016", Sales Associate,"London, England",4.0,wonderful products they are a pleasure to sell the customers are largely regulars which makes for a nice experience as an employee product training is provided and is paid great benefits,in my own experience the store i worked in was between managers for six months which made it hard on the rest of the staff and an unpleasurable overall experience,L'Occitane,0.0,1.0,0.0,0.0
302,crazy people run this company,"Aug 6, 2016", Sales Associate,"Toronto, ON",1.0,just nothing nothing is genuine about loccitane,this company is a shame,L'Occitane,0.375,0.625,0.0,-0.34
303,amazing products,"Aug 5, 2016", Boutique Manager,"Philadelphia, MS",3.0,well known brand lovely products great contests at christmas for staff large variety of products great employee discount new products every couple of months promote from within company,really make you push the divine cream to all clients can be hard to meet your expected quota need to work over time to complete stock at the holiday season some locations have only a few employees so may need to work alone for a long period of time,L'Occitane,0.0,0.208,0.792,0.5859
304,lovely brand,"Aug 4, 2016", Anonymous Employee,"Dallas, TX",5.0,entrepreneurship chance to learn a lot and make a difference beautiful brand story some excpetional people,maybe the model is a bit stuck need some fresh ideas,L'Occitane,0.0,0.208,0.792,0.5859
305,could be a better company,"Jul 31, 2016", Anonymous Employee,"Toronto, ON",1.0,discount on all products free monthly gratis great coworkers lack of support from upper management,extremely low wages no room for growth unreasonable sales targets too many new products that customers dont care for,L'Occitane,0.0,0.508,0.492,0.4404
306,acting district manager,"Jul 18, 2016", Acting TSDM,"Miami, FL",1.0,the title the power being in charge of everyone i know more than all these new hires i have managed many stores,people that challenge me like other store managers that are just jealous but ive been with the company the longest and thats how were supposed to be promoted on,L'Occitane,0.0,1.0,0.0,0.0
307,ptsa,"Jul 16, 2016", ,"Washington, DC",5.0,i loved working at lo of oakbrook dedicated staff indepth product knowledge team atmosphere superior mgt great place,not able to grow with company,L'Occitane,0.0,1.0,0.0,0.0
308,excellent experience,"Jul 11, 2016", Anonymous Employee,"Los Angeles, CA",5.0,i currently work for the buckhead location and i must sayi absolutely love it my store manager is supportive shes fair she keeps us informed about the company goals and expectations she encourages us to do our best in our professional and personal lives the list can go on and on and oni absolutely love the company and plan to make this my final pit stop in my professional life,no cons at allim in love with my job,L'Occitane,0.0,0.213,0.787,0.5719
309,once upon a time,"Jul 10, 2016", PTSA,"Ellicott City, MD",1.0,the job was good it was full of fun friendly dedicated staff who wanted to bring the joy of provencal cosmetics to new and existing clients the work environment was once positive and i believe it can be again,the company has been headed in an awful direction recently and every action taken smacks of desperation operations truly are a nightmare as one boutique manager pointed out there is way too much that is disorganized from an operational stand point at the corporate level but the problems are in the boutiques as well if you are perceived as being a threat to anyone of any kind at any time you will be slandered libeled and verbally brutalized to your face and behind your back no one in management impacting any location in my district is a decent or trustworthy individual there is a very pervasive virulent sickness that is an epidemic in the district where i work people in higher positions think they dont see anything wrong but are simply being manipulated by their employees and management teams its pathetic sad and unhealthy,L'Occitane,0.0,1.0,0.0,0.0
310,prosperity is a joke,"Jul 6, 2016", Boutique Manager,"New York, NY",1.0,the products are effective for the most part the gratis for new campaigns the skin care and body care is good,overall awful place to work if youre not in a high volume location if you have some challenges reprimanded instead of coached assisted,L'Occitane,0.0,0.476,0.524,0.296
311,boutique manager,"Jun 14, 2016", Anonymous Employee,"New York, NY",4.0,good pay great customer service and benefitsrewards really enjoy working for loccitane and the products are amazing,head office can be quite slow at getting back to you regarding important matters that could effect trade very target driven this can keep you on your toes or really stress you out at times,L'Occitane,0.0,1.0,0.0,0.0
312,good,"Jun 10, 2016", ,"Calgary, AB",3.0,nor require full time for sale assistant,require high level of flexible,L'Occitane,0.0,0.0,1.0,0.4404
313,nightmare company,"Jun 8, 2016", Manager,"West Bromwich, England",1.0,the product is amazing and love using it,salary development leadership turnover,L'Occitane,0.0,1.0,0.0,0.0
314,anonymous,"Jun 7, 2016", Anonymous,"New York, NY",4.0,if you meet goals you are very happy and get up to bonus on your wages free gratis of free product on every campaign welcoming working environment everyone is smiling and nice to you company is political,low wages compare to other similar cosmetics retail stores it is a good start of your career but a little bit to keep it for long time because high turnover in the company,L'Occitane,0.0,1.0,0.0,0.0
315,truly awful company to work,"Jun 1, 2016", Senior Sales Assistant,"San Diego, CA",1.0,nice products pleasant customers on the whole,my manager hadnt a clue took the job as senior sales and was told i would get one weekend a month off but never did had to take it as holiday she would change shifts without asking and the shifts were so random from week to week so trying to organise childcare was a nightmare then she would complain endlessly about other members of staff behind their back all they want to do is sell sell sell divine cream dont care about any other product,L'Occitane,0.337,0.337,0.326,-0.0258
316,pros and cons,"May 29, 2016", Corporate Employee,"Toronto, ON",3.0,the company has great people working there who love the product and care about the brand,people receive undeserved promotions not based of job performance but popularity,L'Occitane,0.0,1.0,0.0,0.0
317,great company great values,"May 26, 2016", Assistant Store Manager,"Washington, DC",5.0,i feel truly valued as a loccitane employee and have had lots of opportunities for growth and enrichment,the workload can be heavy management holds a high standard and high expectations for all employees but you are always rewarded fairly,L'Occitane,0.0,0.084,0.916,0.8979
318,cosmetics,"May 13, 2016", Anonymous Employee,"Toronto, ON",4.0, great company culture large company great to get experience awesome for entrylevel positions, career profession is unclear especially with the small teams some employees are favored more than others,L'Occitane,0.0,1.0,0.0,0.0
319,if i could give stars i would,"May 9, 2016", ,"Toronto, ON",1.0,there are some great opportunities to get new launch products free and to get many nice products at a discount,if you are incompetent at your job or you happen to be a reject from a real beauty brand this is the job for you there are no prerequisites to working here other than not being capable of being promoted elsewhere the worse you are at your job the more job security you have they will promote you to the skies because those in upper management know you are not competition and that you will stay because you cant make it anywhere else there is no work life balance as i was disciplined for not answering my phone while at doctors appointments at the movies with family while driving while in no service areas of the town i live in etc,L'Occitane,0.0,1.0,0.0,0.0
320,marketing,"May 8, 2016", ,"Edison, NJ",4.0,great work environment friendly hard working and energetic team socially responsible company with a single minded charity focus on aiding world blindness as a global initiative,long hours and limited management career growth opportunities in local country team as top senior positions are scarce,L'Occitane,0.0,1.0,0.0,0.0
321,sales assistant,"Apr 19, 2016", ,"Toronto, ON",3.0,lovely team members helpful training if you require it flexible working hours and beautiful products within the store,christmas is crazy within the stores and as a casual worker it was very tiring sometimes you encounter difficult customers,L'Occitane,0.0,1.0,0.0,0.0
322,great people,"Apr 18, 2016", Anonymous Employee,"Miami, FL",5.0,lots of benefits and hr works very hard to make sure everyone is happy great company culture focused around inclusiveness and open communication inspiring country manager who cares about his employees and knows everyone by name even the interns unique brand heritage with highquality products and strong csr,rely too much on the us who are not as organized and very political,L'Occitane,0.0,0.196,0.804,0.6249
323,i love the company ,"Apr 15, 2016", Store Manager,"Miami, NM",5.0,growth and the brand the true stories about the products also all the charity work that is done in the company for different organizations,sometimes is difficult to keep part time help because they want to grow to full time we dont always have openings ,L'Occitane,0.0,0.323,0.677,0.6369
324,could not work for a more beautiful brand,"Apr 15, 2016", District Manager,"Nashville, TN",5.0,the growth opportunity within the brand and the team unity the company emphasizes truly stands out for me i have worked for great leaders that have truly helped guide me and get me into the management position i am currently in,the training has been a bit challenging for the brand but i continuously see grown and progress on a yearly basis due to the open communication we are always asked to share our opinions,L'Occitane,0.0,0.589,0.411,0.6361
325,great place to work,"Mar 19, 2016", Boutique Manager,"New York, NY",4.0,great company with respect for employees reward and benefit if your performing well and great working support,help is sometimes not close to hand,L'Occitane,0.0,0.423,0.577,0.6249
326,anonymous,"Mar 16, 2016", Personal Assistant,"Allentown, PA",3.0,gratis location in times square is perfect,not open to suggestions low pay,L'Occitane,0.0,1.0,0.0,0.0
327,love working here,"Mar 15, 2016", Anonymous Employee,"Taunton, England",5.0,great support system clear communication throughout company great benefits and perks i love that the company always gives back to the community and is committed to its visionvalues internationally really cares about its employees,cant think of any ,L'Occitane,0.0,0.323,0.677,0.6369
328,store manager,"Mar 9, 2016", Anonymous Employee,"Winnipeg, MB",5.0,the ambience of the store and quality of the products is superior,opportunity is needed in the structure of their training materials,L'Occitane,0.0,1.0,0.0,0.0
329,loccitane en provence sales associate,"Mar 8, 2016", Sales Associate,"New York, NY",5.0,voted top company to work by the times for years running good rate of pay offer constant training progression such as nvqs that are government funded positive company to work for everyone gets along very well and even as a sales associate youre kept in the loop with regional managers and get the opportunity to meet managing directors as well as the opportunity to cover in other stores and experience different cities stores showing potential really benefits you and will give you the chance to experience extra responsibilities for example i am a key holder and help the management with stock take,hard to progress although you are given support guidance and the opportunity for qualifications to progress positions are very limited and it can be hard to transfer unless willing to relocate,L'Occitane,0.0,1.0,0.0,0.0
330,wonderful company to work with,"Mar 8, 2016", Boutique Manager,"Toronto, ON",5.0,amazing company that practices their values with incredible work culture entrepreneurship is welcomed encouraged in management how good is that support is always an email away great discount great benefits and a pleasure to work with this amazing company,i havent found any the open door policy allows for open discussion,L'Occitane,0.0,0.519,0.481,0.5719
331,the company isnt all that bad,"Mar 1, 2016", Key Holder,"Beachwood, OH",2.0,i love the products they give you gratis every time something new comes out or even when the seasons change and the pay is good too,i really feel like they should watch who they hire everyone is not meant to be a manager the manager i worked for is lazy condescending rude and pushy she likes to take over everyones sales but then she would tell us that our hours are based on who sells more she would also fabricate a lot of information about the french and the products she isnt the most truthful person to work for she will have an issue with you but wont say anything to you about it to address it but she doesnt mind talking crap about others to other key holders in the store she loves to pin everything on everyone else and wont take any responsibility for anything that goes wrong lastly she had this attitude to where she says its not my problem and because i leaned to do it the hard way so will you and she has really bad bo you can smell it outside the store,L'Occitane,0.0,0.637,0.363,0.431
332,sales,"Feb 27, 2016", Anonymous Employee,"Lehigh Valley, PA",5.0,awesome management amazing products overall great place to work,the technology is very outdated,L'Occitane,0.0,1.0,0.0,0.0
333,toxic enviornment,"Feb 25, 2016", Manager,"Hartford, CT",1.0,great products pay is ok in terms of national average for management,completely out of touch senior leadership failing company with cash flow troubles poor organization poor communication unrealistic expectations because priorities shift from upper management month to month and sometimes literally day to day no resources poor training programs inconsistent standards low pay for associates crazy abuse of employment law late paychecks failure to protect employee privacy,L'Occitane,0.0,1.0,0.0,0.0
334,experience depends on where you are,"Feb 25, 2016", Key Holder,"Clapham, England",2.0,extensive training positive work environment fun customers good products,cash register unnecessarily difficult to use overly corporate approach with only one correct way to do something too much emphasis put on selling the divine skincare line lots of politics and a lack of professionalism,L'Occitane,0.0,1.0,0.0,0.0
335,love my store,"Feb 22, 2016", Part Time Sales Associate,"New York, NY",4.0,generous gratis flexible schedule responsibility without micromanagement good training unique brand which is easy to sell great company that gives back and many ingredients are traceablenatural pleasant working environment if your store makes monthly sales goal you all receive a bonus,they offer only part time sales associate positions besides the manager working alone can get tedious sales promotions are sometimes confusinglack clarity marketing can be complicated and the customer is often dismayed due to the strict policy regarding redeeming mailingsoffers you have to push the divine line of products and they are tracked computers are frequently slow making point of sale difficult at times raises are tiny and far between offer option of bonus vs gratis,L'Occitane,0.0,0.323,0.677,0.6369
336,loccitanethe most amazing company,"Feb 17, 2016", District Manager,"Toronto, ON",5.0,the most amazing company i have ever had the privilege to work the culture is based on sharing ideas promoting from within and complete integrity,there is nothing negative i would have to say about this amazing company,L'Occitane,0.0,0.423,0.577,0.624
337,terrible management,"Feb 3, 2016", ,Seoul,3.0,half price employee discount smells nicw,everything else the store management,L'Occitane,0.756,0.244,0.0,-0.4767
338,financial controller,"Jan 28, 2016", Business Controller,"Poughkeepsie, NY",4.0,many opportunities to expand job scopes,heavy workload due to the small manpower,L'Occitane,0.0,1.0,0.0,0.0
339,boutique manager,"Jan 28, 2016", Boutique Manager,"Denver, CO",1.0,great team members and family feel at the storelevel great camaraderie between managers of different stores across canada,dms are inexperienced and make daily life in the boutiques very stressful there is no support at all from head office it is as if no one at head office is competent and so they turn on the boutique managers across canada and blame them so as to hold on to their own jobs its very weird and sad for the managers although it is nice to have the national sales conference every year where managers can confide in each other of how badly the company treats them,L'Occitane,0.0,1.0,0.0,0.0
340,ok to work for,"Jan 28, 2016", ,"Dallas, TX",2.0,great products and sales associates,long hours not enough pay,L'Occitane,0.0,0.577,0.423,0.296
341,internal,"Jan 27, 2016", Digital Graphic Designer,"New York, NY",1.0,working with nice people very friendly environment nice parties,pay is not good hard to get hired a lot of people come and go,L'Occitane,0.0,1.0,0.0,0.0
342,good for parttime not for career,"Dec 18, 2015", Sales Associate,"Washington, DC",2.0,easy products to sell discount depending on store the smaller the better and you sometimes get nice employees if you need a part time job and pay or hours dont matter work here,this no place for career advancement or fulltime work they pay pretty badly for manager positions and take advantage of everyone all part timers are required to train to open and close the store and they pay you like a part timer everyone is part time and you are expected to clientele and only sell divine cream the divine cream obsession is ridiculous goals are hard to reach and they analyze every part timers goals ridiculous,L'Occitane,0.0,0.633,0.367,0.4404
343,lost in the sauce,"Dec 17, 2015", Store Manager,"New York, NY",1.0,this company really cares about the environment and community their products are amazing and they offer you a great opportunity to connect with your clients through their service offerings however there is often no time to render these services being that coverage is usually so lacking,this company does not care about the development of their employees nor the employees quality of life lacks development strategies management team are low level shop workers,L'Occitane,0.434,0.566,0.0,-0.3182
344,management,"Dec 17, 2015", Anonymous Employee,"Schaumburg, IL",1.0,some free stuff but the products arent that great,management is an absolute joke district managers have very little experience other than running a store by themselves or a few employees zero motivation and they do not know what is going on in the stores my store had a high internal theft issue and when i brought it forward she did not know how to deal with it and still employees these individuals outlet product is poor and staff are untrained cannot sell and steal,L'Occitane,0.0,1.0,0.0,0.0
345,dont take the job serious cant advance,"Dec 14, 2015", Part Time Sales Associate,"Orlando, FL",2.0,very little gratis is probably the only thing i can think of oh and samples,where do i start sm is horrible and has no idea whats going on management comes to the store too basically tell u how to do your job by being incredibly pushy towards the customer and when u know yr a great seller and know your customers well that is incredibly insulting and they also dont realize why some stores dont make their numbers oh hey maybe because the goal is too high ooh and maybe its because u have an employe that is basically doing we she wants and getting away with it because management doesnt bother to care whats going on if it doesnt have to do with sales i can go on and on but it wouldnt matter any way,L'Occitane,0.178,0.822,0.0,-0.0772
346,you better hope,"Nov 2, 2015", Store Manager,"Raleigh, NC",1.0,none except a steady pay check the product is actually good but dont worry about that you will only be expected to sell divine cream,you better hope that you were hired by or are favored by upper management if not expect to be picked apart and slowly forced out completely inhumane working conditions no payroll ridiculously unachievable goals ever changing business practices no uniformity at all berating and endless emails if youre a manager expect to never have a day off youre constantly bombarded because they dont give you enough hours to train new employees they get thrown into solitary work and the register system is a joke money invested in ipads that never work new promotions everyday competition constantly with the online store sneaky business practices no follow through on anything if you are someone who loves to multitask to the point of exhaustion can handle belittling and disrespect by superiors obsession over balloons and cookies and want to be held responsible for advertising your store with no help from corporate then this place is a great fit for you i would run as fast as you can like hundreds of other employees have in the last year stay unemployed anything is better than working for this place,L'Occitane,0.0,0.147,0.853,0.7003
347,anyway,"Oct 30, 2015", Anonymous Employee,"San Jose, CA",2.0,gratis and free product the products,poor management only interested in numbers pushy,L'Occitane,0.0,1.0,0.0,0.0
348,feedback,"Oct 23, 2015", ,"Richmond, VA",3.0,benefits are fine amoung retail business,so much pressure in selling,L'Occitane,0.0,1.0,0.0,0.0
349,typical retail,"Oct 18, 2015", Sales Associate,"Houston, TX",2.0,great products beautiful store nice customers usually,very disorganized management favoritism store managers have no clue what they are doing and are constantly stressed by corporate demands,L'Occitane,0.0,1.0,0.0,0.0
350,lovely products,"Oct 15, 2015", Part-Time Sales Associate,"Los Angeles, CA",4.0,flexible hours generous discount and gratis beautiful products that are a pleasure to sell,too much emphasis on skin care products when there is an array of other lovely products constantly bombarded by pressure to do minifacials which is impossible to do when you are alone in the store we work alone a lot we are able to do other kinds of demos,L'Occitane,0.0,0.208,0.792,0.5859
351,great company great products,"Oct 8, 2015", Store Manager,"New York, NY",4.0,the products are great so you sell an awesome product you get a free full size product to try every month you conduct your own events and get to meet other small businesses,i started around the holidays was not given full attention on training because they wanted me to hurry up and sell and promised total training after the holidays i did not start having training until march by then i had already knew a lot of what i needed to know,L'Occitane,0.0,0.196,0.804,0.8481
352,the staff was already so inviting on my first day i had such an active first day and everyone was literally a joy,"Oct 5, 2015", ASM,"New York, NY",4.0,youre surrounded by effective organic yet very fresh products i have such a support group in and out of work i am proud to work for such a professional and personable company,learning my ways around this maze of an airport theres such a minimal backroom and no sinks no worries though improvisation is always resourceful ,L'Occitane,0.0,0.655,0.345,0.8588
353,worst job i ever had at head office,"Sep 18, 2015", Anonymous Employee,"London, England",1.0,nothing every day was hell,not treated like a human being everyone is cold and rude no one talks to you hostile place to work no banter or laughs just full on hostility and looked down on dead atmosphere and its like no one there is a human or has any emotional capability,L'Occitane,0.406,0.594,0.0,-0.6249
354,married to my job,"Sep 15, 2015", Store Manager,"Brooks, AB",4.0,mostly loved my other half i spent a lot of time with him of course we had our ups and downs the ups included great bonus structure with opportunities for everyone on staff to reap the reward great benefits and pto amazing product with great results thus easy to sell,work life balance sometimes long hours by yourself with a lot to accomplish and short deadlines this became difficult when youre or attempting to convert at a higher rate and trying to increase atv through guest demonstration but had no hours to support all three missions so what suffers your work life balance your guest experience or you meeting deadlines in the end for me and most top talent it was work life balance because i wanted to grow my relationship and career attracting talent and recruiting is a issue for this brand talent retainment was difficult because the brand isnt huge in some markets and it was easy for a part time sales associate to lose balance as well especially if your store loses an associate or someone is out of the business for more than a few days because theres such a small amount of staff the part timers are expected to be alone and running the business a lot of the time can you imagine how much trickery a dishonest associate could get into with no one present to hold them accountable at all hours,L'Occitane,0.0,1.0,0.0,0.0
355,disappointing on many levels,"Sep 13, 2015", Anonymous Employee,"Toronto, ON",2.0,the majority of the products are very good large network of stores that support and encourage store staff competitiveish wage discount is generous,middle management is unhelpful and unsupportive corporate officials are unrealistic in expectations and little to no help in most situations goals are unrealistic,L'Occitane,0.516,0.484,0.0,-0.4939
356,eat,"Sep 10, 2015", ,"Olathe, KS",1.0,relaxing work atmosphere depending on what location you work at if you work at a busy location forget about it according to the culture of the company your manger is suppose to every hour and there is ongoing criticism in order you to sell better,terrible management style every one lives to micro manage every sales associate is responsible for manger work aswell while not getting paid enough,L'Occitane,0.0,1.0,0.0,0.0
357,good people do not stay,"Sep 8, 2015", Full Time Sales Associate,"Boston, MA",1.0, off employee discount gratis high quality body care product authentic french made product, terrible pay rate horrible management dont value employees lots of good people including me chose to leave under qualified store managers lease line when there is no customer you need to stand by the door and beg people in this company is your least optionstay away,L'Occitane,0.0,0.58,0.42,0.4404
358, nyc,"Aug 14, 2015", Anonymous Employee,"New York, NY",1.0,are there any pros really aside than the few made up positive reviews,more cons than one can list nyc rating is enough said,L'Occitane,0.0,1.0,0.0,0.0
359,ptsa,"Aug 12, 2015", PTSA,"Indianapolis, IN",1.0,discount free product customers work alone,managers dms human resources,L'Occitane,0.0,1.0,0.0,0.0
360,sales associate,"Aug 11, 2015", Anonymous Employee,"Dublin, Dublin",3.0,its a good company staff is friendly opportunities to move up,hours sometimes arent good pay is low for such a demanding job,L'Occitane,0.0,1.0,0.0,0.0
361,the old team,"Aug 7, 2015", Anonymous Employee,Paris,4.0,great discount for the wonderful products really good team atmosphere fantastic customers amazing fair and caring ceo very nice and super hard working area manager,boutique manager always open,L'Occitane,0.0,1.0,0.0,0.0
362,keyholder,"Jul 30, 2015", Anonymous Employee,"Portland, OR",5.0,great staff flexable hours ,there are no nons,L'Occitane,0.0,1.0,0.0,0.0
363,part time sales associate,"Jul 25, 2015", Anonymous Employee,"Tampa, FL",4.0,great atmosphere and wonderful products been using them for years,goals are set very high and bonuses are rarely given out,L'Occitane,0.0,1.0,0.0,0.0
364,parttime sales associate,"Jul 3, 2015", Part-Time Sales Associate,"Vancouver, BC",5.0,the managers are thoughtful and considerate it is a great place to work for parttime job people are very nice and caring,due to the budget concerns it can not give you more working hours you need other parttime job to make a living,L'Occitane,0.0,1.0,0.0,0.0
365,seasonal,"Jun 29, 2015", Seasonal Sales Associate,Paris,1.0,lots of gratis every time a new product came out the company would give you one to try for free,way too much going on at once and products are always changing and being discontinued,L'Occitane,0.0,1.0,0.0,0.0
